split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_drug_out,A549,SNS-314,Cell Cycle,1.0,observed,0.037476104505645265,1.1925049931404193e-42,0.5153727131752512,0.10781438675176813,0.6,0.4887005649717514,0.4417006201975797,DART_recommended,1
leave_drug_out,A549,Azacitidine,DNMT1|DNMT3A,1.0,observed,0.029236237963914318,2.8011956301853093e-42,0.6045137552999371,0.3308607900638261,0.8,0.5949152542372882,0.5839613659440759,DART_recommended,1
leave_drug_out,A549,G007-LK,DNA Damage,1.0,observed,0.02940389325352865,1.401298464324817e-45,0.6208338567839196,0.35196365936403884,0.4,0.5807909604519774,0.4334823462163915,DART_recommended,1
leave_drug_out,A549,Pracinostat (SB939),Cytoskeletal Signaling,1.0,observed,0.11068731568733187,4.680336870844889e-43,0.7094721409783291,0.12903225806451613,0.4,0.3502824858757062,0.4261085044204136,mean_sufficient,1
leave_drug_out,A549,Ruxolitinib (INCB018424),JAK/STAT,1.0,observed,0.032136908263620804,3.44719422223905e-43,0.6040055256752512,0.35248116842044735,0.4,0.5293785310734463,0.4401796863055441,DART_recommended,1
leave_drug_out,A549,Carmofur,DNA Damage,1.0,observed,0.0314123916325356,5.997557427310217e-43,0.5791752708856783,0.27309450552710046,0.4,0.6677966101694915,0.4077377789206598,DART_recommended,1
leave_drug_out,A549,CYC116,Cell Cycle,1.0,observed,0.033656148124428714,4.222112273010674e-42,0.5771478486180904,0.29552054274059036,0.6,0.6463276836158192,0.5021154191943018,DART_recommended,1
leave_drug_out,A549,Prednisone,Endocrinology & Hormones,1.0,observed,0.03291632671816477,2.0725204287364044e-42,0.6031619768765704,0.3943994019895348,0.4,0.596045197740113,0.4571049685384886,DART_recommended,1
leave_drug_out,A549,CUDC-101,Epigenetics,1.0,observed,0.035276006274070314,1.4517452090405105e-42,0.6171143804962311,0.33091829107009374,0.8,0.5299435028248588,0.6033608587463669,DART_recommended,1
leave_drug_out,A549,Lenalidomide (CC-5013),Apoptosis,1.0,observed,0.028031305778113295,1.1298669517851e-41,0.5869006654365578,0.3214881260422057,0.4,0.543502824858757,0.41530482799276763,DART_recommended,1
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,Protein Tyrosine Kinase,1.0,observed,0.03364321155385663,2.474693087997627e-42,0.6154037276224875,0.4489376383446694,1.0,0.6062146892655367,0.7195981808444529,DART_recommended,1
leave_drug_out,A549,UNC0379,Epigenetics,1.0,observed,0.03422697847619589,1.4923828645059302e-42,0.6074454793498744,0.2528535693754379,0.6,0.5644067796610169,0.49192423264497837,DART_recommended,1
leave_drug_out,A549,SB431542,TGF-beta/Smad,1.0,observed,0.028047029487726163,1.1350517561031018e-43,0.6050137160411433,0.3484560979817147,0.4,0.596045197740113,0.42660209436089297,DART_recommended,1
leave_drug_out,A549,Mocetinostat (MGCD0103),Epigenetics,1.0,observed,0.035878099983758786,1.2849906917858573e-42,0.6287288002512563,0.30308780403657065,1.0,0.6937853107344633,0.6765879113892017,DART_recommended,1
leave_drug_out,A549,Ki8751,Protein Tyrosine Kinase,1.0,observed,0.03667385030582451,1.133650457638777e-42,0.5884864998822237,0.25921453625438445,0.4,0.5497175141242938,0.4195952885947305,DART_recommended,1
leave_drug_out,A549,"Roscovitine (Seliciclib,CYC202)",Cell Cycle,1.0,observed,0.027461149515685904,7.749180507716238e-43,0.5981707855684673,0.343396009430165,0.4,0.5677966101694916,0.4223891304044622,DART_recommended,1
leave_drug_out,A549,Ofloxacin,DNA Damage,1.0,observed,0.030017438745681437,2.129973665773722e-43,0.5940005937892587,0.34270599735495366,0.4,0.6016949152542372,0.429399474690204,DART_recommended,1
leave_drug_out,A549,Daphnetin,DNA Damage,1.0,observed,0.030430603613994616,1.2318814799879467e-41,0.5838271926036432,0.2765798401472026,0.8,0.5610169491525424,0.5664774741538692,DART_recommended,1
leave_drug_out,A549,Filgotinib (GLPG0634),JAK/STAT,1.0,observed,0.030894054547177335,4.8835251481719875e-42,0.5996878680511935,0.3159105284342476,0.4,0.5548022598870056,0.42321963539863805,DART_recommended,1
leave_MoA_out,A549,IOX2,Angiogenesis,0.9414893617021277,observed,0.027838264415102336,3.937648684752736e-42,0.579880898633794,0.3135593220338983,0.2,0.5819209039548022,0.3312486458205508,mean_or_no_call,1
leave_MoA_out,A549,Fulvestrant,Endocrinology & Hormones,0.973404255319149,observed,0.02577728625717885,1.2163270670339412e-42,0.6044474079381281,0.33171200384315136,0.6,0.5005649717514125,0.49387580091045236,DART_recommended,1
