cell_line,drug,n_per_arm,A_sup,A_unsup,G
A549,Elimusertib hydrochloride,300,0.9433333333333334,0.5466666666666666,0.3966666666666667
A549,Encorafenib,300,0.875,0.615,0.26
A549,Erdafitinib ,300,0.74,0.57,0.17000000000000004
A549,Everolimus,300,0.7083333333333334,0.5033333333333334,0.20499999999999996
A549,Futibatinib,300,0.7616666666666667,0.6583333333333333,0.10333333333333339
A549,GSK1059615,300,0.9066666666666666,0.5549999999999999,0.3516666666666667
A549,Gemcitabine,300,0.7233333333333334,0.5416666666666667,0.18166666666666664
A549,HI-TOPK-032,300,0.89,0.69,0.20000000000000007
A549,Hydroxyfasudil,300,0.6633333333333333,0.5033333333333334,0.15999999999999992
A549,IQ 1,300,0.77,0.5383333333333333,0.2316666666666667
A549,Infigratinib,300,0.78,0.5116666666666667,0.2683333333333333
A549,Ipatasertib,300,0.8283333333333334,0.5116666666666667,0.31666666666666665
A549,Irinotecan,300,0.7566666666666667,0.5133333333333333,0.2433333333333334
A549,Ixazomib,300,0.9166666666666666,0.61,0.30666666666666664
A549,LB-100,300,0.6666666666666666,0.5083333333333333,0.15833333333333333
A549,LJI308,300,0.7266666666666667,0.5233333333333333,0.20333333333333337
A549,LY-2584702 (tosylate salt),222,0.7319819819819819,0.5337837837837838,0.19819819819819817
A549,LY2090314,300,0.6966666666666667,0.6316666666666667,0.06499999999999995
A549,Lapatinib ditosylate,300,0.685,0.5283333333333333,0.15666666666666673
A549,Lonafarnib,300,0.9766666666666667,0.8566666666666667,0.12
A549,MK-3903,300,0.8,0.555,0.245
A549,MK-8353,300,0.6616666666666666,0.5233333333333333,0.1383333333333333
A549,ML264,300,0.75,0.5333333333333333,0.21666666666666667
A549,Methylprednisolone succinate,300,0.6433333333333333,0.505,0.1383333333333333
A549,Minodronic acid,300,0.71,0.5333333333333333,0.17666666666666664
A549,NG25,300,0.9166666666666666,0.78,0.1366666666666666
A549,NVP-BHG712,300,0.7183333333333334,0.5666666666666667,0.15166666666666673
A549,OTS514,300,0.7733333333333333,0.5883333333333334,0.18499999999999994
A549,Oleic acid,300,0.7166666666666667,0.5766666666666667,0.14
A549,Oxaliplatin,300,0.7066666666666667,0.53,0.17666666666666664
A549,PF-06260933,300,0.805,0.5083333333333333,0.29666666666666675
A549,PH-797804,300,0.9283333333333333,0.7933333333333333,0.135
A549,Paclitaxel,300,0.835,0.5466666666666666,0.28833333333333333
A549,Pemigatinib,300,0.6533333333333333,0.5833333333333333,0.07000000000000006
A549,Pimitespib,300,0.7866666666666666,0.5016666666666667,0.2849999999999999
A549,Pralsetinib,300,0.8633333333333333,0.555,0.30833333333333324
A549,RMC-6236,300,0.9666666666666667,0.7333333333333334,0.23333333333333328
A549,Ralimetinib dimesylate,300,0.7966666666666666,0.55,0.2466666666666666
A549,Regorafenib,300,0.7883333333333333,0.5083333333333333,0.28
A549,SBI-0640756,300,0.7316666666666667,0.5166666666666666,0.21500000000000008
A549,Sapanisertib,300,0.84,0.6133333333333333,0.22666666666666668
A549,Sonidegib,300,0.6466666666666666,0.565,0.08166666666666667
A549,TAK-733,300,0.93,0.7783333333333333,0.15166666666666673
A549,TAK-901,300,0.9966666666666667,0.9883333333333333,0.008333333333333415
A549,Temuterkib,300,0.8066666666666666,0.6066666666666667,0.19999999999999996
A549,Tomivosertib,300,0.69,0.595,0.09499999999999997
A549,Torkinib,300,0.7566666666666667,0.5033333333333334,0.2533333333333333
A549,Trametinib,300,0.965,0.7033333333333334,0.2616666666666666
A549,Tubulin inhibitor 6,300,0.685,0.5016666666666667,0.18333333333333335
A549,Tucatinib,300,0.7383333333333333,0.5016666666666667,0.23666666666666658
A549,ULK-101,300,0.7033333333333334,0.5083333333333333,0.19500000000000006
A549,Vemurafenib,300,0.73,0.5466666666666666,0.18333333333333335
A549,Volasertib,300,0.6433333333333333,0.5366666666666666,0.10666666666666669
A549,XRK3F2,300,0.785,0.595,0.19000000000000006
A549,c-Kit-IN-1,300,0.9283333333333333,0.6733333333333333,0.255
A549,olaparib,300,0.7466666666666667,0.5116666666666667,0.235
A549,palbociclib,300,0.8433333333333334,0.6233333333333333,0.22000000000000008
A549,venetoclax,300,0.945,0.8283333333333334,0.11666666666666659
A549,vincristine,300,0.82,0.6733333333333333,0.1466666666666666
AN3 CA,4EGI-1,150,0.6866666666666666,0.56,0.1266666666666666
AN3 CA,9-ING-41,300,0.7333333333333333,0.5933333333333333,0.14
AN3 CA,APTO-253,300,0.6016666666666667,0.5916666666666667,0.010000000000000009
AN3 CA,AZD-7648,280,0.6607142857142857,0.5964285714285714,0.06428571428571428
AN3 CA,AZD-8055,233,0.7274678111587983,0.5708154506437768,0.15665236051502152
AN3 CA,AZD1390,205,0.6853658536585366,0.5195121951219512,0.1658536585365854
AN3 CA,AZD2858,139,0.5035971223021583,0.60431654676259,-0.1007194244604317
AN3 CA,Abemaciclib,297,0.7794612794612794,0.5942760942760943,0.18518518518518512
AN3 CA,Adagrasib,155,0.5870967741935483,0.567741935483871,0.019354838709677358
