seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
1,Tie2 kinase inhibitor,Tie-2,120,180,0,0.022917162626981735,0.0,0.0,low
1,MLN8054,Aurora Kinase,120,180,11,0.04170834273099899,1.0,0.7120715603284468,high
1,Costunolide,Telomerase,120,180,0,0.029507119208574295,0.0,0.0,mid
1,Ramelteon,MT Receptor,120,180,0,0.026998162269592285,0.0,0.0,mid
1,ZM 447439,Aurora Kinase,120,180,11,0.03776026517152786,1.0,0.803587768447183,high
1,Meprednisone,Glucocorticoid Receptor,120,180,1,0.02271019108593464,0.0,0.14152099882215266,low
1,SB431542,TGF-beta/Smad,120,180,0,0.030620016157627106,0.0,0.0,mid
1,Mesna ,Others,120,180,2,0.025562774389982224,0.0,0.1786909265535205,mid
1,AG-14361,PARP,120,180,6,0.03389827534556389,1.0,0.5684752106611898,high
1,Gandotinib (LY2784544),JAK,120,180,15,0.0532367005944252,0.0,0.4810923972310607,high
1,BRD4770,Histone Methyltransferase,120,180,6,0.021647779271006584,0.0,0.29855685699732415,low
1,2-Methoxyestradiol (2-MeOE2),HIF,120,180,2,0.03063710778951645,0.0,0.22085040341878093,mid
1,Amisulpride,Dopamine Receptor,120,180,0,0.030872223898768425,0.0,0.0,mid
1,XAV-939,Wnt/beta-catenin,120,180,0,0.034368038177490234,0.0,0.0,high
1,Glesatinib?(MGCD265),"c-Met,Tie-2,VEGFR",120,180,0,0.014662365429103374,0.0,0.0,low
